,skblid,description,detail,occupationtype,from,place
1594,AnnaSjodahl,Professor,"Adjungerad professor, Konsthögskolan i Umeå",Yrke,"{'comment': '1993', 'date': '1993'}","{'pin': {'lat': '63.825847', 'lon': '20.263035'}, 'place': 'Umeå'}"
1595,DicteSjogren,Översättare,Översättare,Yrke,,"{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1596,RosalieSofieSjoman,Fotograf,"Fotograf, egen ateljé, R. Sjöman &amp; Comp., sedermera med filialer i Halmstad, Kalmar och Vaxholm",Yrke,"{'comment': '1864', 'date': '1864'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1597,IngeborgSjoqvist,Lärare,"Folkskollärare, gymnastiklärare",Yrke,"{'comment': '1939', 'date': '1939'}","{'pin': {'lat': '56.046467', 'lon': '12.6945121'}, 'place': 'Helsingborg'}"
1598,LalaSjoqvist,Lärare,Folkskollärare,Yrke,{'comment': '1940-talet'},
1599,HelgaKristinaSjostrand,"Styrelseledamot, ordförande","Vice ordförande, allmänna beredningsutskottet (ABU)",Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1600,IngridSjostrand,Författare,"Författare, poet, dramatiker",Yrke,{'comment': '1960-talet'},
1601,LeonildaMariaElesaraLovisaSjostrom,Lärare,"Matematiklärare, Tekniska skolan (nuvarande Konstfack)",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1602,MajaSjostrom,Företagare,"Inredningsarkitekt, textilkonstnär, grundare av och importör till konsthantverksbutiken Blå Boden, Råå",Yrke,"{'comment': '1923', 'date': '1923'}","{'pin': {'lat': '41.902701', 'lon': '12.496235'}, 'place': 'Rom, Italien'}"
1603,MajSjowall0,Författare,Författare,Yrke,"{'comment': '1965', 'date': '1965'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1604,MonaSkagerfors,Illustratör,"Modetecknare och -skribent, bl a Göteborgs-Posten och Gillblads",Yrke,"{'comment': '1947', 'date': '1947'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1605,AdelaidevonSkilondz,Lärare,Sångpedagog,Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1606,WilhelminaSkogh,Chef,"VD, Grand Hôtel, byggherre, Grand Hôtel Royal",Yrke,"{'comment': '1902', 'date': '1902'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1607,AlexandraSkoglund,Politisk verksamhet,,Ideellt arbete,"{'comment': '1927', 'date': '1927'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1608,KarinBeritElvySkogsberg,Redaktör och förlagschef,"Förlagsredaktör, förlagschef, Lantbruksförbundets Tidskriftsförlag (LTs Förlag), Askild &amp; Kärnekull, Bokförlaget Prisma",Yrke,"{'comment': '1967', 'date': '1967'}",
1609,LydiaSkottsberg,Konstnär,"Konstnär, tecknare, grafiker, illustratör",Yrke,"{'comment': '1903', 'date': '1903'}",
1610,BritaSkottsbergAhman,Journalist,"FN-korrespondent, Radiotjänst (nuvarande Sveriges Radio)",Yrke,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 40.712784, 'lon': -74.005941}, 'place': 'New York, USA'}"
1611,AnnaSkytte,,,,,
1612,VendelaSkytte,Författare,Poet,Yrke,{'comment': '1920-talet'},
1613,MajGunillaElisabetSkyttla,Textilkonstnär,Textilkonstnär,Yrke,"{'comment': '1967', 'date': '1967'}","{'pin': {'lat': 56.663445, 'lon': 16.356779}, 'place': 'Kalmar'}"
1614,ElsaKristinaSkaringerLarson,Rektor,Rektor,Yrke,"{'comment': '1953', 'date': '1953'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1615,EvaSkold,Styrelseledamot,"Styrelseledamot, Riksteatern",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1616,BritaSkotsner,Fotograf,"Fotograf, ateljé Skötsner-Edlundh, Östhammar, Öregrund och Gimo",Yrke,"{'comment': '1888', 'date': '1888'}","{'pin': {'lat': 60.258889, 'lon': 18.373611}, 'place': 'Östhammar'}"
1617,MargaretaSlots,Godsägare,,Yrke,"{'comment': '1619', 'date': '1619'}","{'pin': {'lat': '59.593041', 'lon': '18.205168'}, 'place': 'Stora Benhamra'}"
1618,CharlottaSlottsberg,Dansare,"Balettdansare, Kungliga Teaterns balettkår, Bollhuset, Ulriksdals teater Confidencen, Drottningholms slottsteater m fl",Yrke,"{'comment': '1768', 'date': '1768'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1619,HelenaSnakenborg,Hovdam,Hovdam hos drottning Elisabet I av England,Yrke,"{'comment': '1566', 'date': '1566'}","{'pin': {'lat': 51.507351, 'lon': -0.127758}, 'place': 'London, Storbritannien'}"
1620,MajvorSnare0,Styrelseledamot,"Ledamot, Styrelsen för journalistinstitutet i Göteborg, Samarbetsnämnden för instituten i Göteborg och Stockholm",Ideellt arbete,"{'comment': '1965', 'date': '1965'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1621,JuliavonSneidern,Socialt och filantropiskt arbete,Engagerad för judiska flyktingar,Ideellt arbete,"{'comment': '1939', 'date': '1939'}","{'pin': {'lat': '58.379728', 'lon': '12.324803'}, 'place': 'Vänersborg'}"
1622,BritaSnellman0,Arkitekt,"Arkitekt, tillsammans med maken och sonen",Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1623,AnnaLovisaSodenstierna,Kommun- och landstingspolitiker,"Ledamot, Stockholms läns landsting, för Folkpartiet",Ideellt arbete,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1624,SigneSohlman0,Textilkonstnär,"Textil formgivare, Almedals linnefabriker",Yrke,"{'comment': '1876', 'date': '1876'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1625,AstridRagnarsdotterSohlmanNyblom,Textilkonstnär,"Textilkonstnär, formgivare, ägare, Textilateljén Studio ARS",Yrke,"{'comment': '1932', 'date': '1932'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1626,EvaBarbroMarianneSoller,Journalist,"Frilansjournalist, bl a Dagens Nyheter",Yrke,"{'comment': '1993', 'date': '1993'}",
1627,KarinSommarElmer,Kommun- och landstingspolitiker,"Ledamot, Uddevallas Namnberedningskommitté",Ideellt arbete,,"{'pin': {'lat': 58.3498, 'lon': 11.935649}, 'place': 'Uddevalla'}"
1628,AnnaEvaElisabetSparre,Författare,Författare,Yrke,"{'comment': '1943', 'date': '1943'}",
1629,BeataSparre,Hovdam,Hovfröken hos drottning Hedvig Eleonora och drottning Ulrika Eleonora d.y.,Yrke,"{'comment': '1680', 'date': '1680'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1630,BirgitSparre,Reseledare,Guidade bussturer till herrgårdarna hon beskrivit,Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 57.8112175, 'lon': 13.444322}, 'place': 'Ulricehamn'}"
1631,VendelaGustafvaSparreafRossvik,Bruksägare,"Bruksförvaltare, Hargs järnbruk",Yrke,"{'comment': '1816', 'date': '1816'}","{'pin': {'lat': 59.1007331, 'lon': 16.5618499}, 'place': 'Mellösa'}"
1632,BeritSpong,Författare,,Yrke,"{'comment': '1924', 'date': '1924'}",
1633,BarbroHeleneSprinchorn,Lärare,"Teckningslärare, periodvis",Yrke,{'comment': 'Ca 1970'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1634,GerdaSprinchorn,Konstnär,"Skulptör, keramiker, grafiker",Yrke,"{'comment': '1885', 'date': '1885'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1635,BirgitSpangberg,Tjänsteman,"Tjänsteman, Socialdepartementet",Yrke,"{'comment': '1928', 'date': '1928'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1636,EvaSpangberg,Predikant,"Andlig förkunnare, bl a TV- och radiogudstjänster",Ideellt arbete,{'comment': '?'},
1637,SofiaElisabetSpangberg,Kyrklig verksamhet,"Ledamot, Charlottenbergs kyrkofullmäktige",Ideellt arbete,{'comment': '1940-talet'},"{'pin': {'lat': 59.884722, 'lon': 12.301944}, 'place': 'Charlottenberg'}"
1638,EmilySporck,Läkare,Praktiserande läkare,Yrke,"{'comment': '1873', 'date': '1873'}","{'pin': {'lat': 41.878114, 'lon': -87.629798}, 'place': 'Chicago, USA'}"
1639,IngegerdStadener,Författare,Författare,Yrke,"{'comment': '1935', 'date': '1935'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1640,SofiaFranciscaStading,Skådespelare,Skådespelare,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1641,MathildaStaelvonHolstein,Sakkunnig,"Sakkunnig, Kommittén angående kvinnors tillträde till civil statstjänst",Yrke,"{'comment': '1923', 'date': '1923'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1642,VeraStarckRomanus,Sexualupplysare,"Sexualupplysare, bl a genom RFSU",Yrke,{'comment': '1940-talet'},
1643,VivekaStarfelt,Filmcensor,"Filmcensor, Statens biografbyrå",Ideellt arbete,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1644,SylviaStave,Konstnärlig ledare,"Konstnärlig ledare, C G Hallbergs Guldsmedsaktiebolag",Yrke,"{'comment': '1931', 'date': '1931'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1645,AnnaStecksen,Forskare,"Forskare, stipendiat",Yrke,"{'comment': '1902', 'date': '1902'}","{'pin': {'lat': '61.924109', 'lon': '25.748151'}, 'place': 'Finland'}"
1646,FridaSteenhoff,Författare,,Yrke,,
1647,LisaSteier,Lärare,"Privatlärare, balett och plastik",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1648,AstridIngeborgElisabetLizzyStein,"Sångare, skådespelare","Sångare, skådespelare, Sverige och Köpenhamn",Yrke,"{'comment': '1931', 'date': '1931'}",
1649,EmmaDagmarStenbeck,Socialt och filantropiskt arbete,"Filantropisk verksamhet, bl a initiativtagare och styrelseordförande, Röda Korsets språkförskola",Ideellt arbete,"{'comment': '1942', 'date': '1942'}","{'pin': {'lat': 59.36296, 'lon': 18.1468}, 'place': 'Lidingö'}"
1650,MartaStenbeck,Chef,Rikslottachef,Yrke,"{'comment': '1945', 'date': '1945'}",
1651,AnnaStenberg,Styrelseledamot,"Styrelseledamot, Malmö sparbank",Ideellt arbete,,"{'pin': {'lat': '55.604981', 'lon': '13.003822'}, 'place': 'Malmö'}"
1652,BirgittaStenberg,Kommun- och landstingspolitiker,"Ledamot, Tjörnskommunfullmäktige, för Vänsterpartiet kommunisterna",Ideellt arbete,{'comment': '?'},"{'pin': {'lat': '58.01389', 'lon': '11.640704'}, 'place': 'Tjörn'}"
1653,GabyStenberg,Skådespelare,Skådespelare,Yrke,"{'comment': '1944', 'date': '1944'}",
1654,UllaStenberg,Lärare,"Lärare, Fruntimmersdirektionens arbetsskola för flickor",Yrke,"{'comment': '1834', 'date': '1834'}","{'pin': {'lat': '57.782614', 'lon': '14.161788'}, 'place': 'Jönköping'}"
1655,LisetteStenberg,Musiker,"Musiker, pianist",Yrke,,
1656,MariaKatrinaKarinStenberg,Författare,"Författare, samhällsdebattör",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 65.6565961, 'lon': 19.219253}, 'place': 'Arvidsjaur'}"
1657,HedvigEleonoraStenbock,Hovdam,Hovdam hos änkedrottning Hedvig Eleonora,Yrke,,
1658,StinaStenhagen,Forskare,"Forskare, kemisk ekologi, Ölands Skogsby",Yrke,"{'comment': '1963', 'date': '1963'}","{'pin': {'lat': '56.664895', 'lon': '16.636477'}, 'place': 'Öland'}"
1659,ElsaStenhammar,Lärare,"Lärare, körsång och vältalighet, Kvinnliga medborgarskolan vid Fogelstad",Yrke,"{'comment': '1935', 'date': '1935'}","{'pin': {'lat': '59.151918', 'lon': '16.092045'}, 'place': 'Julita'}"
1660,FredrikaStenhammar,Sångare,"Operasångare, Kungliga Teatern, 1855–1857, 1859–1867, 1868–1880",Yrke,"{'comment': '1855', 'date': '1855'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1661,HilleviStenhammar,Sångare,Vissångare,Yrke,{'comment': '1930-talet'},
1662,YrsaStenius,Styrelseledamot,"Styrelseledamot, Styrelsen för psykologiskt försvar",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1663,MariaStenkula,Skolgrundare,"Grundare, lärare, föreståndare, privatskola",Yrke,"{'comment': '1900', 'date': '1900'}","{'pin': {'lat': '56.283635', 'lon': '13.278832'}, 'place': 'Örkelljunga'}"
1664,ElsaStenudd,Lärare,"Ämneslärare engelska, Kommunala flickskolan i Sundsvall",Yrke,"{'comment': '1930', 'date': '1930'}","{'pin': {'lat': '62.390811', 'lon': '17.306926999999973'}, 'place': 'Sundsvall'}"
1665,FlorenceElisabethStephens,Kommun- och landstingspolitiker,"Ledamot, Skatelövs vattendomstol",Ideellt arbete,{'comment': '1920-talet'},"{'pin': {'lat': 56.8998, 'lon': 14.55459}, 'place': 'Alvesta'}"
1666,MargrethMaggieHedvigIngegerdStephens,Godsägare,"Godsägare, Ålshults herrgård",Yrke,"{'comment': '1934', 'date': '1934'}","{'pin': {'lat': 56.533333, 'lon': 14.983333}, 'place': 'Tingsryd'}"
1667,MaryIngeborgStephens,Kommun- och landstingspolitiker,"Ledamot, Västra Torsås fullmäktige, samt ledamot, distriktsvårdsstyrelsen och nykterhetsnämnden",Ideellt arbete,{'comment': '1930-talet'},"{'pin': {'lat': 56.8998, 'lon': 14.55459}, 'place': 'Alvesta'}"
1668,AmelinaSterky,Lärare,"Lärare, Fredrika-Bremer-Förbundets kurser för fältskärselever",Yrke,"{'comment': '1893', 'date': '1893'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1669,AnnaSterky,Politisk verksamhet,"Ordförande, sekreterare 1908–1914, Socialdemokratiska kvinnokonferensens arbetsutskott/centralkommitté",Ideellt arbete,"{'comment': '1907', 'date': '1907'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1670,RutEvaStiberg,Skådespelare,Skådespelare,Yrke,{'comment': '1940-talet'},
1671,MarikaStiernstedt,Litteraturkritiker,"Litteraturkritiker, Idun",Yrke,"{'comment': '1907', 'date': '1907'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1672,ElsaBritaStjernberg,Arkitekt,"Grundare, ägare, VD, Stjernberg Arkitektkontor AB (senare Stjernberg Hultén Arkitekter AB, nuvarande Stjernberg Hultén Ehrenborg Arkitekter AB)",Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1673,KarinStjernholmRder,Illustratör,Illustratör,Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1674,RuthStjernstedt,Kommittéledamot,1942 års Centralkommitté för det frivilliga försvarsarbetet,Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1675,KarinStolpe,Översättare,Översättare,Yrke,"{'comment': '1931', 'date': '1931'}",
1676,HedvigAmaliaAuroraAuroreStorckenfeldt,Skolgrundare,"Grundare, ledare, Jönköpings söndagsskola",Yrke,{'comment': 'Ca 1852'},"{'pin': {'lat': 57.782614, 'lon': 14.161788}, 'place': 'Jönköping'}"
1677,AuroraStrandberg,Skådespelare,"Skådespelare, Dramaten",Yrke,"{'comment': '1846', 'date': '1846'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1678,FridaStrandberg,Missionär,"Missionär, skribent, redaktör",Yrke,"{'comment': '1924', 'date': '1924'}","{'pin': {'lat': -22.911, 'lon': -43.20940000000002}, 'place': 'Rio de Janeiro, Brasilien'}"
1679,LauraStridsberg,Bibliotekarie,"Bibliotekarie, fr o m 1932 biblioteksföreståndare, Nordiska museets bibliotek",Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1680,GustiStridsberg,Politisk verksamhet,Underrättelseagent för Sovjetunionen,Yrke,"{'comment': '1933', 'date': '1933'}",
1681,KarinGunnelBirgittaKajsaStrinning,Formgivare,"Formgivare, konstnär, Stockholm, Lausanne och Saltsjöbaden",Yrke,{'comment': '1940-talet'},
1682,ConstantiaCarolinaAmaliavonStrussenfelt,Lärare,Lärare,Yrke,"{'comment': '1845', 'date': '1845'}","{'pin': {'lat': 58.538034, 'lon': 15.047094}, 'place': 'Motala'}"
1683,UlrikaSophiavonStrussenfelt,Journalist,Korrespondent för Östgöta Correspondenten,Yrke,"{'comment': '1866', 'date': '1866'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1684,EricaStrom,Polissyster,"Polissyster, Jakobs polisstation",Yrke,"{'comment': '1908', 'date': '1908'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1685,IngridafStrom,Designer,"Designer, modekonsulent, Junex",Yrke,"{'comment': '1956', 'date': '1956'}","{'pin': {'lat': 57.790414, 'lon': 14.275578}, 'place': 'Huskvarna'}"
1686,GerdaHelgaElisabethStromberg,Formgivare,"Formgivare, glaskonstnär, Eda glasbruk",Yrke,{'comment': '1920-talet'},
1687,HedvigStromfelt0,Författare,"Sångförfattare, religiös aktivist",Yrke,{'comment': '1740-talet'},
1688,UlrikaStromfelt,Hovdam,Överhovmästarinna hos drottning Sofia Magdalena,Yrke,"{'comment': '1777', 'date': '1777'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1689,KristinaSvantesdotterSture,Godsägare,Godsägare,Yrke,,
1690,SigridSture,Godsägare,"Godsägare, häradshövding",Yrke,"{'comment': '1577', 'date': '1577'}",
1691,AnnaMargaretaAnnaGretaStahle,Styrelseledamot,"Styrelseledamot, Marionetteatern",Ideellt arbete,,
1692,BirgitStahlNyberg,Lärare,"Teckningslärare, ABF:s målarskola, fr o m 1971 Teckningslärarinstitutet vid Konstfack",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1693,FannyStal,Lärare,Pianolärare,Yrke,"{'comment': '1846', 'date': '1846'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1694,CarolinaWilhelminaStahlberg,Översättare,Översättare,Yrke,{'comment': '1830-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1695,UlrikaEleonoraStalhammar,"Hantlangare, dräng",,Yrke,"{'comment': '1715', 'date': '1715'}","{'pin': {'lat': '56.663445', 'lon': '16.356779'}, 'place': 'Kalmar'}"
1696,MargaretaSuber,Översättare,,Yrke,,
1697,CallaSundbeck,Ledamot,"Ledamot, Gränna stads fattigvårdsstyrelse",Ideellt arbete,,"{'pin': {'lat': 58.0251, 'lon': 14.467300000000023}, 'place': 'Gränna'}"
1698,StinaSundberg,Tjänsteman,"Strategisk jämställdhetssamordnare, Västra Götalandsregionen",Yrke,"{'comment': '2009', 'date': '2009'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1699,ElinSundberg,Företagare,"Företagare, Elin Sundbergs Konststoppningsateljé",Yrke,"{'comment': '1928', 'date': '1928'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1700,StinaSundell,Lärare,"Lärare, Lundholms musikinstitut",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1701,ElsaAugustaTorgerdSundling,Arkitekt,"Delägare, Horn &amp; Sundlings arkitektkontor AB",Yrke,"{'comment': '1963', 'date': '1963'}","{'pin': {'lat': 59.6099, 'lon': 16.544809}, 'place': 'Västerås'}"
1702,AlmaSundquist,Sakkunnig,Sakkunnig i 1935 års befolkningskommission,Ideellt arbete,"{'comment': '1936', 'date': '1936'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1703,BrithaSundstrom0,Affärsidkare,"Grundare, föreståndare, firma Ströberg &amp; Sundström, med Alma Ströberg",Yrke,"{'comment': '1893', 'date': '1893'}","{'pin': {'lat': 56.879004, 'lon': 14.805852}, 'place': 'Växjö'}"
1704,HarrietSundstrom0,Konstnär,"Konstnär, grafiker, skulptör",Yrke,"{'comment': '1894', 'date': '1894'}",
1705,KajsaBarbroGunillaSundstrom,Utredare,"Utredare, rapportförfattare, för FN, Sida och Världsbanken",Yrke,"{'comment': '1993', 'date': '1993'}",
1706,BirgitSunesson,Författare,"Författare, frilansskribent",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1707,BirgittaSvanberg,Forskare,"Forskare, litteraturhistoria",Yrke,"{'comment': '1989', 'date': '1989'}",
1708,AnnaSvantesdotterSture,Hovdam,Hovdam,Yrke,,
1709,ElsaSvartengren,Sekreterare,"Sekreterare, Yrkeskvinnors Riksförbund",Yrke,"{'comment': '1943', 'date': '1943'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1710,NannaSvartz,Föreståndare,"Föreståndare, Konung Gustaf V:s forskningsinstitut",Ideellt arbete,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1711,HilmaSvedal,Företagare,"Grundare och ägare, restauratör, Alaska och Golden Inn",Yrke,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': 58.957778, 'lon': 11.108056}, 'place': 'Norra Långön'}"
1712,AinaLenaLenaBerniceSvedberg,Tidskriftsredaktör,"Redaktör, underground-tidskriften Puss",Ideellt arbete,"{'comment': '1968', 'date': '1968'}",
1713,HilleviSvedberg,Konsult,"Konsult, Socialstyrelsen",Yrke,"{'comment': '1976', 'date': '1976'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1714,RuthAstaSvedberg,Idrottare,"Idrottsinstruktör, tränare",Yrke,,
1715,JuliaSvedelius,Föreståndare,"Föreståndare, Erlinhemmet",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1716,HertaSvenson,Socialt och filantropiskt arbete,"Södergårdens hemgård, ansvarig för verksamheten",Ideellt arbete,"{'comment': '1916', 'date': '1916'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1717,WilhelminaSvensson,Översättare,Översättare,Yrke,"{'comment': '1888', 'date': '1888'}","{'pin': {'lat': '-0.228021', 'lon': '15.827659'}, 'place': 'Kongo'}"
1718,ElinTeresiaAndreaSvensson,Kommun- och landstingspolitiker,Ledamot av Göteborgs stadsfullmäktige,Ideellt arbete,"{'comment': '1955', 'date': '1955'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1719,ValborgSvensson,Journalist,"Redaktör, ansvarig utgivare, Vi kvinnor i demokratiskt världsförbund (1959-1968 Vi kvinnor, fr o m 1969 Vi mänskor)",Yrke,{'comment': '1950-talet'},"{'pin': {'lat': '59.329323', 'lon': '18.068581'}, 'place': 'Stockholm'}"
1720,InezSvensson,Styrelseledamot,Styrelseledamot för Statens konstmuseer,Ideellt arbete,,
1721,GardaSvensson,Utredare,"Ledamot, 1945 års civilförsvarsnämndutredning, statens folkbadsutredning m fl",Yrke,{'comment': '1940-talet'},"{'pin': {'lat': '59.329323', 'lon': '18.068581'}, 'place': 'Stockholm'}"
1722,RebeckaSvensson0,Kommun- och landstingspolitiker,Kommunpolitiker för Sveriges socialdemokratiska arbetareparti (SAP),Ideellt arbete,,"{'pin': {'lat': '56.210434', 'lon': '15.2760229'}, 'place': 'Ronneby'}"
1723,RuthSvensson,Socialt och filantropiskt arbete,"Styrelseledamot, alkoholistanstalterna Venngarn, Haknäs och Hagbyhemmet",Ideellt arbete,{'comment': '1930-talet'},"{'pin': {'lat': '59.858564', 'lon': '17.638927'}, 'place': 'Uppsala'}"
1724,SofiaSvensson,Kommun- och landstingspolitiker,"Ledamot, Göteborgs stadsfullmäktige",Ideellt arbete,"{'comment': '1923', 'date': '1923'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1725,BarbroSvenssonLillBabs,Sångare,"Sångare, revyartist",Yrke,"{'comment': '1958', 'date': '1958'}",
1726,ElsaKarolinaSvenssonSanfridsson,Affärsidkare,Kioskföreståndare,Yrke,{'comment': '1950-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1727,KarinMargaretaSvereniusHolm,Lärare,Bildlärare,Yrke,"{'comment': '2010', 'date': '2010'}","{'pin': {'lat': 55.557396, 'lon': 14.348965}, 'place': 'Simrishamn'}"
1728,DagmarBarbroMargaretaSvinhufvud,Chef,"Direktör, Sveriges Radios utlandsprogram",Yrke,"{'comment': '1969', 'date': '1969'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1729,KarinSwanstrom,Producent,"Filmproducent, produktionsledare Bonnierfilm 1923–1924, konstnärlig ledare och chef Svensk Filmindustri 1933–1941",Yrke,"{'comment': '1923', 'date': '1923'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1730,KristinaStinaLovisaSwartling,Skolgrundare,"Skolgrundare, föreståndare, trädgårds-, hushålls-, väv- och fjäderfäskötselskolan i Espenäs",Yrke,"{'comment': '1899', 'date': '1899'}","{'pin': {'lat': 57.820278, 'lon': 13.024167}, 'place': 'Fristad'}"
1731,TeklaSwedlund,Lärare,"Gymnastikdirektör, gymnastiklärare, Högre flickskolan i Gefle (Själanderska flickskolan)",Yrke,"{'comment': '1896', 'date': '1896'}","{'pin': {'lat': 60.67488, 'lon': 17.141273}, 'place': 'Gävle'}"
1732,AldaTulliaBjornsdottervonSydow,Riksdagsledamot,"Riksdagsledamot, för SAP",Yrke,"{'comment': '1998', 'date': '1998'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1733,MaryEmilyvonSydow,Donator,Donator,Ideellt arbete,,"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1734,ViviSylwan,Museitjänsteman,"Textilintendent, Röhsska museet",Yrke,"{'comment': '1914', 'date': '1914'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
